,precision,recall,f1-score,support
Abuse,0.0,0.0,0.0,5.0
Arrest,0.0,0.0,0.0,5.0
Arson,0.3333333333333333,0.2,0.25,5.0
Assault,0.0,0.0,0.0,5.0
Burglary,0.09090909090909091,0.1,0.09523809523809523,10.0
Explosion,0.0,0.0,0.0,5.0
Fighting,0.0,0.0,0.0,5.0
Normal_Videos_for_Event_Recognition,0.16666666666666666,0.2,0.18181818181818182,5.0
RoadAccidents,0.25,0.4,0.3076923076923077,15.0
Robbery,0.23076923076923078,0.2,0.21428571428571427,15.0
Shooting,0.0,0.0,0.0,5.0
Shoplifting,0.0,0.0,0.0,5.0
Stealing,0.0,0.0,0.0,10.0
Vandalism,0.0,0.0,0.0,5.0
accuracy,0.12,0.12,0.12,0.12
macro avg,0.07654845154845155,0.07857142857142858,0.07493102135959277,100.0
weighted avg,0.1062062937062937,0.12,0.1094114219114219,100.0
