Metric,Value
accuracy,0.9982
precision_macro,0.9992
recall_macro,0.9974
f1_macro,0.9983
precision_micro,0.9982
recall_micro,0.9982
f1_micro,0.9982
precision_weighted,0.9982
recall_weighted,0.9982
f1_weighted,0.9982

Class,Accuracy,Precision,Recall,F1-Score
Abuse,1.0000,1.0000,1.0000,1.0000
Arrest,1.0000,1.0000,1.0000,1.0000
Arson,1.0000,1.0000,1.0000,1.0000
Assault,0.9643,1.0000,0.9643,0.9818
Burglary,1.0000,1.0000,1.0000,1.0000
Explosion,1.0000,1.0000,1.0000,1.0000
Fighting,1.0000,1.0000,1.0000,1.0000
Normal_Videos_for_Event_Recognition,1.0000,1.0000,1.0000,1.0000
RoadAccidents,1.0000,1.0000,1.0000,1.0000
Robbery,1.0000,0.9882,1.0000,0.9941
Shooting,1.0000,1.0000,1.0000,1.0000
Shoplifting,1.0000,1.0000,1.0000,1.0000
Stealing,1.0000,1.0000,1.0000,1.0000
Vandalism,1.0000,1.0000,1.0000,1.0000
