Metric,Value
accuracy,0.3232
precision_macro,0.4424
recall_macro,0.2857
f1_macro,0.2795
precision_micro,0.3232
recall_micro,0.3232
f1_micro,0.3232
precision_weighted,0.4011
recall_weighted,0.3232
f1_weighted,0.2945

Class,Accuracy,Precision,Recall,F1-Score
Abuse,0.0714,0.1667,0.0714,0.1000
Arrest,0.1071,0.7500,0.1071,0.1875
Arson,0.6786,0.4872,0.6786,0.5672
Assault,0.0714,1.0000,0.0714,0.1333
Burglary,0.2679,0.3333,0.2679,0.2970
Explosion,0.2500,0.4667,0.2500,0.3256
Fighting,0.1071,1.0000,0.1071,0.1935
Normal_Videos_for_Event_Recognition,0.3214,0.2647,0.3214,0.2903
RoadAccidents,0.2381,0.2899,0.2381,0.2614
Robbery,0.6548,0.2696,0.6548,0.3819
Shooting,0.0357,0.0909,0.0357,0.0513
Shoplifting,0.2500,0.2917,0.2500,0.2692
Stealing,0.4107,0.3770,0.4107,0.3932
Vandalism,0.5357,0.4054,0.5357,0.4615
